,county,crimerate,prbarr,prbconv,prbpris,avgsen,polpc,density,taxpc,west,central,urban,pctmin80,wcon,wtuc,wtrd,wfir,wser,wmfg,wfed,wsta,wloc,pctymle,crmrtelag
0,1.0,0.036573,0.325395,0.578723,0.497059,6.55,0.0019244,2.364896,28.14034,0.0,1.0,0.0,20.2187,243.7562,358.783,206.8827,383.0707,261.0861,298.88,490.43,281.44,288.58,0.0823065,0.0347259
1,3.0,0.0120346,0.206897,0.909091,0.366667,8.59,0.0006413,1.030888,24.03637,0.0,1.0,0.0,7.91632,2324.598,338.7238,173.1681,250.1563,257.655,262.06,411.23,312.8,262.84,0.084861,0.0136621
2,5.0,0.0124753,0.60396,0.180328,0.545455,10.04,0.0014822,0.4127659,27.50368,1.0,0.0,0.0,3.16053,204.918,254.5249,200.157,218.5315,190.6257,192.6,373.06,277.24,242.61,0.073643,0.0138299
3,7.0,0.0245848,0.380655,0.381148,0.483871,11.36,0.0015341,0.4934334,47.00904,0.0,1.0,0.0,47.9161,291.1915,358.6446,196.3563,268.3363,279.7203,253.55,392.05,277.01,260.93,0.0774562,0.0223434
4,9.0,0.0133173,0.393548,0.622951,0.407895,9.23,0.0009021,0.5492958,25.17329,1.0,0.0,0.0,1.79619,256.4102,313.5452,194.7082,277.3669,216.0761,265.99,348.6,316.62,296.99,0.0739364,0.0143262
5,11.0,0.0141194,0.530806,0.455357,0.27451,7.85,0.0024759,0.6072875,31.62309,1.0,0.0,0.0,1.5407,229.8311,364.1329,181.2447,303.6437,224.2694,205.47,365.97,282.34,246.76,0.1012548,0.0168042
6,13.0,0.0349786,0.298962,0.381944,0.454545,7.32,0.0013556,0.5242131,29.29789,0.0,0.0,0.0,32.1794,246.3054,331.2477,192.8121,280.0598,231.761,270.01,427.7,324.81,244.13,0.0738005,0.0301272
7,15.0,0.0160135,0.423977,0.565517,0.47561,16.68,0.0008896,0.3052782,67.58157,0.0,0.0,0.0,61.054,210.7482,325.0271,193.818,326.9231,172.3187,217.01,380.33,317.34,261.01,0.0782715,0.016346
8,17.0,0.0196959,0.464463,0.30605,0.453488,9.69,0.0013673,0.3503982,30.73238,0.0,0.0,0.0,40.389,174.8252,299.7003,190.5012,249.7502,201.8889,290.7,377.22,269.76,219.35,0.0796546,0.0179276
9,19.0,0.0128511,0.291667,0.122258,0.356383,7.85,0.0018741,0.5302325,74.15498,0.0,0.0,0.0,24.3117,255.5988,582.7787,162.2066,282.1042,221.6631,517.63,426.73,221.33,275.35,0.0808785,0.013686
